,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
DHG,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,134.40578829081213,34.405788290812126,131.8722985118113,100.0,0.9948289022706305,8.552689035741524,1240 days 00:00:00,4,4,0,0.0,75.0,27.936123866817645,-6.011357340720216,13.146263183882887,-6.011357340720216,33 days 16:00:00,13 days 00:00:00,5.006620406338635,8.60144707270303,0.5674640418853885,0.5609884200504962,1.4727818745900636,1.0787941286151832
DHT,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,866.7334516156782,766.7334516156782,748.2581545545565,100.0,4.897142670416873,18.865779713548235,877 days 00:00:00,7,7,0,0.0,71.42857142857143,173.90108695652145,-9.581054365733113,71.32904103972596,-7.924321269024253,64 days 00:00:00,13 days 12:00:00,15.04029876064478,109.53335023081117,1.7240494839144715,2.1633645657972664,2.0679238917337583,3.7732831486806626
DIG,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,184.86875742109413,84.86875742109413,363.3031934858803,100.0,5.937946376858173,42.87466417498369,933 days 00:00:00,18,18,0,0.0,44.44444444444444,57.983516483517505,-29.979344389763778,21.33157669129875,-7.440908653382239,32 days 09:00:00,13 days 21:36:00,1.5640332326304212,4.7149309678385585,0.5356624590355258,0.23857348011818352,1.212040951343688,0.8055809923382561
DNH,2017-11-06 00:00:00,2025-08-19 00:00:00,1944 days 00:00:00,100.0,67.64351068171035,-32.35648931828965,493.4766271960519,100.0,1.9583931280187301,47.58392856851925,1633 days 00:00:00,10,10,0,0.0,30.0,23.49370406990668,-16.642394014962576,11.540209048943268,-9.382667346075205,46 days 08:00:00,18 days 13:42:51.428571428,0.5072265815616627,-3.2356489318289645,-0.2974771978201863,-0.14872438129332136,0.7487090214922502,-0.3851209636582905
DPG,2017-06-12 00:00:00,2025-08-19 00:00:00,2045 days 00:00:00,100.0,459.96281575185895,359.96281575185895,128.37883127404544,100.0,10.711318875494866,45.44782504307936,820 days 00:00:00,11,11,0,0.0,72.72727272727273,144.07609044901665,-22.38797399783314,39.894717281722706,-17.830624016269216,44 days 03:00:00,17 days 08:00:00,2.0236207461742968,32.72389234107808,1.0345439417852826,0.6888398467859244,1.4528899394818144,1.448389714474192
DPM,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,106.82338530593027,6.823385305930272,55.303719227039274,100.0,1.988603786599865,46.195342162194315,947 days 00:00:00,8,8,0,0.0,25.0,51.704565217391284,-13.292349090909067,32.92595282146143,-7.626295850817106,35 days 00:00:00,17 days 08:00:00,1.1140955765359393,0.8529231632412841,0.15172307313463135,0.022764717068182224,1.0922781013030738,0.19658772516559894
DSC,2018-06-05 00:00:00,2025-08-19 00:00:00,1795 days 00:00:00,100.0,41.20847925606183,-58.79152074393817,-69.78790692967229,100.0,0.7560266081294786,66.1367451560907,1595 days 00:00:00,6,6,0,0.0,16.666666666666664,40.27454357675905,-31.22758016788453,40.27454357675905,-21.198285613464908,39 days 00:00:00,11 days 00:00:00,0.23874599235403735,-9.798586790656362,-0.4957243277566056,-0.24941364690977844,0.7349639713539212,-0.6394776462299566
DSE,2024-11-19 00:00:00,2025-08-19 00:00:00,186 days 00:00:00,100.0,106.87841570194513,6.87841570194513,33.18077803203672,100.0,0.09990009990008275,0.09990009990008275,1 days 00:00:00,1,0,1,6.87841570194513,,,,,,,,,,1.3805625494983464,139.5828418762381,69.92279411765904,96.55012390863132
DTK,2017-05-16 00:00:00,2025-08-19 00:00:00,2062 days 00:00:00,100.0,46.05558031529019,-53.94441968470981,4.796235332494736,100.0,1.1703549924887242,53.94441968470981,1552 days 00:00:00,10,10,0,0.0,30.0,6.589320388349515,-39.446428571428555,4.473030846498197,-11.178610588219877,25 days 00:00:00,18 days 06:51:25.714285714,0.1220369317248159,-5.39444196847098,-0.4647708463199198,-0.2377269973957504,0.7020822998040289,-0.5227529479729557
DVN,2017-10-06 00:00:00,2025-08-19 00:00:00,1965 days 00:00:00,100.0,85.48056540719932,-14.519434592800678,73.1019750230303,100.0,1.4105796125384322,37.35679464048257,1887 days 00:00:00,8,8,0,0.0,37.5,14.232912430305017,-13.694049118387873,4.937725834882578,-5.6255886389780505,25 days 16:00:00,14 days 09:36:00,0.44842065670947895,-1.8149293241000832,-0.08169507512155963,-0.0768809909422393,0.9525299367400819,-0.11958857230093586
